trade_date,exchange_id,rzye,rzmre,rzche,rqye,rqmcl,rzrqye,rqyl
20251204,BSE,7515295270.0,434782431.0,1904965610.0,634055.0,1800.0,7515929325.0,34422.0
20251203,SZSE,1210675549821.0,90931982955.0,92965401871.0,5641700425.0,27109772.0,1216317250246.0,778792898.0
20251203,SSE,1246989558940.0,69486212637.0,71219319373.0,11760574781.0,50419019.0,1258750133721.0,2557560659.0
20251203,BSE,7524243864.0,458826244.0,1918216444.0,694054.0,2500.0,7524937918.0,35122.0
20251202,SZSE,1212622841092.0,88273098655.0,86157281132.0,5672333520.0,19973179.0,1218295174612.0,769618513.0
20251202,SSE,1248727375910.0,66747908998.0,66629937385.0,11878288335.0,54456020.0,1260605664245.0,2611693120.0
20251202,BSE,7552551284.0,435682841.0,1878878026.0,610752.0,999.0,7553162036.0,32622.0
20251201,SZSE,1210522941893.0,102082899979.0,97190300972.0,5671214377.0,33030910.0,1216194156270.0,766391102.0
20251201,SSE,1248616676210.0,88801580202.0,83504018850.0,11930431528.0,130515100.0,1260547107738.0,2614411899.0
20251201,BSE,7568668853.0,625725976.0,2073991547.0,601729.0,4337.0,7569270582.0,32523.0
20251128,SZSE,1205638530345.0,86192133644.0,84758436403.0,5575735188.0,13106298.0,1211214265533.0,754256977.0
20251128,SSE,1243334608699.0,70475798353.0,70444185036.0,11501110264.0,60086534.0,1254835718963.0,2524832271.0
20251128,BSE,7526823019.0,455424200.0,1922107812.0,498092.0,0.0,7527321111.0,28186.0
20251127,SZSE,1204210419803.0,97099904292.0,94840238846.0,5606078330.0,21070783.0,1209816498133.0,761473330.0
20251127,SSE,1243317159526.0,80278293025.0,79765841699.0,11422801182.0,80352184.0,1254739960708.0,2541480115.0
20251127,BSE,7487983065.0,457053270.0,1921951445.0,550451.0,0.0,7488533516.0,30186.0
20251126,SZSE,1201962946894.0,103580011527.0,99992774455.0,5662101789.0,48293915.0,1207625048683.0,762459498.0
20251126,SSE,1242823709564.0,81743980028.0,79298586781.0,11427216135.0,111978692.0,1254250925699.0,2510183814.0
20251126,BSE,7478523415.0,498423566.0,1943526412.0,559562.0,2000.0,7479082977.0,30186.0
